name,n_bands_available,f115w_available,f115w_sum,f115w_max,f115w_mean,f115w_std,f150w_available,f150w_sum,f150w_max,f150w_mean,f150w_std,f277w_available,f277w_sum,f277w_max,f277w_mean,f277w_std,f444w_available,f444w_sum,f444w_max,f444w_mean,f444w_std,notes
COSJ095846+020304,4,Yes,1130.8,8.3766,0.012564,0.125856,Yes,1830.32,16.0043,0.020337,0.192757,Yes,3388.28,16.3265,0.037648,0.321264,Yes,2949.88,9.9313,0.032776,0.252609,
COSJ095847+015837,4,Yes,117.94,1.0092,0.00131,0.029072,Yes,179.92,1.1186,0.001999,0.028961,Yes,244.53,1.1729,0.002717,0.029105,Yes,269.01,1.0635,0.002989,0.030362,
COSJ095852+020258,4,Yes,325.14,0.7739,0.003613,0.04288,Yes,275.09,0.9662,0.003057,0.038412,Yes,391.89,0.7545,0.004354,0.031026,Yes,376.5,0.632,0.004183,0.028309,
COSJ095853+020707,4,Yes,411.37,1.6138,0.004571,0.047618,Yes,621.37,3.675,0.006904,0.073924,Yes,1592.71,11.2622,0.017697,0.220204,Yes,1567.91,11.4691,0.017421,0.230752,
COSJ095855+015828,4,Yes,2859.37,15.5835,0.031771,0.221499,Yes,4089.88,22.6665,0.045443,0.317162,Yes,7462.36,25.3855,0.082915,0.506627,Yes,4305.75,11.7284,0.047842,0.276404,
COSJ095856+015821,4,Yes,134.83,0.7761,0.001498,0.028303,Yes,289.99,1.1457,0.003222,0.028433,Yes,405.19,1.3233,0.004502,0.030639,Yes,404.33,1.623,0.004493,0.036272,
COSJ095857+020404,4,Yes,396.94,1.5934,0.00441,0.039563,Yes,645.23,2.0904,0.007169,0.046965,Yes,1117.76,2.1714,0.01242,0.067404,Yes,1426.83,2.3862,0.015854,0.086663,
COSJ095857+021007,4,Yes,361.92,1.0527,0.004021,0.036189,Yes,474.15,1.2054,0.005268,0.037166,Yes,457.63,1.1116,0.005085,0.034537,Yes,210.18,0.5215,0.002335,0.018864,
COSJ095858+020529,4,Yes,1421.23,6.7819,0.015791,0.110744,Yes,2209.0,13.5377,0.024544,0.19612,Yes,3549.52,19.4295,0.039439,0.346753,Yes,2069.09,11.423,0.02299,0.213906,
COSJ095903+021139,4,Yes,687.52,1.5652,0.007639,0.062449,Yes,1103.2,2.3963,0.012258,0.074887,Yes,1791.28,2.962,0.019903,0.106899,Yes,1413.5,1.3838,0.015706,0.081137,
COSJ095905+021026,4,Yes,223.2,0.5399,0.00248,0.033726,Yes,280.56,0.6825,0.003117,0.031999,Yes,390.59,1.7911,0.00434,0.037587,Yes,437.75,1.9346,0.004864,0.044055,
COSJ095908+020157,4,Yes,985.85,8.8361,0.010954,0.105662,Yes,1540.87,12.8875,0.017121,0.159484,Yes,2880.97,16.6572,0.032011,0.277769,Yes,2332.42,10.5658,0.025916,0.217137,
COSJ095908+021435,4,Yes,124.72,0.4603,0.001386,0.031259,Yes,153.86,0.5286,0.00171,0.029771,Yes,218.89,0.3905,0.002432,0.020618,Yes,112.85,0.2119,0.001254,0.013221,
COSJ095908+021559,4,Yes,1462.64,19.6336,0.016252,0.230126,Yes,2329.0,27.7937,0.025878,0.32464,Yes,3747.5,30.8942,0.041639,0.502212,Yes,2202.48,12.5316,0.024472,0.259231,
COSJ095910+020058,4,Yes,329.76,3.3101,0.003664,0.049626,Yes,508.19,5.5673,0.005647,0.062689,Yes,913.99,5.9459,0.010155,0.095546,Yes,1001.21,4.4667,0.011125,0.102111,
COSJ095910+020937,4,Yes,464.44,2.5255,0.00516,0.065711,Yes,543.86,3.0503,0.006043,0.069019,Yes,747.8,3.6882,0.008309,0.082492,Yes,560.44,1.6506,0.006227,0.053373,
COSJ095910+021709,4,Yes,4697.14,40.9435,0.05219,0.459068,Yes,6559.31,57.1744,0.072881,0.637667,Yes,9132.0,37.1327,0.101467,0.738418,Yes,5476.1,24.912,0.060846,0.49725,
COSJ095912+020033,4,Yes,123.91,0.4628,0.001377,0.034042,Yes,122.32,0.3965,0.001359,0.028282,Yes,167.07,0.4793,0.001856,0.01819,Yes,165.45,0.4624,0.001838,0.020026,
COSJ095912+020656,4,Yes,2094.02,6.3165,0.023267,0.132603,Yes,2447.9,9.3849,0.027199,0.184663,Yes,3066.84,11.138,0.034076,0.24814,Yes,2249.34,5.5977,0.024993,0.168845,
COSJ095912+020750,4,Yes,3349.67,16.5881,0.037219,0.262705,Yes,5062.2,28.1996,0.056247,0.413702,Yes,7358.18,34.6977,0.081758,0.624108,Yes,4899.68,15.0698,0.054441,0.37207,
COSJ095912+020751,4,Yes,3264.61,16.5881,0.036273,0.263102,Yes,4779.82,28.1996,0.053109,0.414084,Yes,7096.85,34.6977,0.078854,0.624333,Yes,4745.22,15.0698,0.052725,0.372089,
COSJ095913+015448,4,Yes,622.77,1.3604,0.007134,0.046835,Yes,661.54,1.491,0.007578,0.046044,Yes,828.77,1.3419,0.009493,0.043922,Yes,685.85,1.0296,0.007856,0.038525,
COSJ095913+021702,4,Yes,39.09,2.7049,0.000434,0.041486,Yes,126.71,2.5015,0.001408,0.037908,Yes,218.89,1.2377,0.002432,0.027638,Yes,233.3,1.2275,0.002592,0.030664,
COSJ095914+015947,4,Yes,821.8,3.6027,0.009131,0.073834,Yes,1214.89,6.0066,0.013499,0.111856,Yes,1972.23,7.8105,0.021914,0.185403,Yes,1424.93,3.8857,0.015833,0.118203,
COSJ095914+021219,4,Yes,1820.17,3.4646,0.020224,0.125056,Yes,2428.41,7.7514,0.026982,0.1675,Yes,4259.9,13.3662,0.047332,0.273243,Yes,3923.06,12.4357,0.04359,0.281384,
COSJ095914+021358,4,Yes,312.94,3.7875,0.003477,0.047936,Yes,530.91,5.9277,0.005899,0.068656,Yes,1084.33,7.0168,0.012048,0.121444,Yes,1038.22,5.2788,0.011536,0.11263,
COSJ095916+021850,4,Yes,116.03,0.7985,0.001289,0.040439,Yes,132.09,0.8937,0.001468,0.03463,Yes,156.08,0.6489,0.001734,0.021633,Yes,160.8,4.8206,0.001787,0.033843,
COSJ095916+022021,4,Yes,4410.57,12.6529,0.049006,0.191986,Yes,7250.77,11.4439,0.080564,0.324435,Yes,12399.31,20.7184,0.13777,0.627961,Yes,6942.48,11.2767,0.077139,0.364224,
COSJ095917+015424,4,Yes,1533.8,6.5664,0.017042,0.111086,Yes,2045.88,9.89,0.022732,0.160623,Yes,3592.43,11.2878,0.039916,0.271343,Yes,4164.6,11.4653,0.046273,0.30582,
COSJ095917+020626,4,Yes,195.96,7.6972,0.002177,0.062415,Yes,115.85,9.904,0.001287,0.072203,Yes,199.85,1.9269,0.002221,0.035773,Yes,195.48,1.3064,0.002172,0.033625,
COSJ095917+021629,4,Yes,134.24,0.4321,0.001492,0.032188,Yes,225.62,0.6453,0.002507,0.029072,Yes,458.98,0.7554,0.0051,0.024507,Yes,382.7,0.6025,0.004252,0.023734,
COSJ095917+021725,4,Yes,215.23,2.7754,0.002391,0.038023,Yes,288.99,3.7542,0.003211,0.046498,Yes,475.22,3.941,0.00528,0.066988,Yes,377.94,2.4995,0.004199,0.051192,
COSJ095918+021939,4,Yes,101.66,0.8066,0.00113,0.029146,Yes,205.6,1.5272,0.002284,0.030011,Yes,662.76,2.2433,0.007364,0.050401,Yes,995.15,3.1062,0.011057,0.07543,
COSJ095920+015851,4,Yes,1283.95,6.1166,0.014266,0.092266,Yes,1994.5,9.5891,0.022161,0.145116,Yes,4478.44,15.3098,0.04976,0.320075,Yes,4136.69,12.1568,0.045963,0.29766,
COSJ095920+020558,4,Yes,189.48,0.803,0.002516,0.037839,Yes,314.58,1.525,0.004178,0.047171,Yes,972.67,4.3893,0.012917,0.130465,Yes,1093.09,4.9968,0.014516,0.152385,
COSJ095920+022515,4,Yes,661.63,0.7343,0.007351,0.051242,Yes,1193.38,1.677,0.01326,0.070525,Yes,3507.96,4.9297,0.038977,0.195346,Yes,2761.22,3.8356,0.03068,0.163204,
COSJ095921+020218,4,Yes,631.88,5.6049,0.007021,0.070344,Yes,1074.99,8.9009,0.011944,0.105373,Yes,1894.07,10.9955,0.021045,0.189059,Yes,2152.52,9.195,0.023917,0.196608,
COSJ095921+020638,4,Yes,2821.26,26.4419,0.031347,0.303595,Yes,4186.78,49.8433,0.04652,0.483213,Yes,6514.12,40.5809,0.072379,0.639252,Yes,3708.48,13.8722,0.041205,0.306775,
COSJ095922+021812,4,Yes,3480.16,41.7345,0.038668,0.460853,Yes,5343.62,59.884,0.059374,0.653959,Yes,8728.12,47.6371,0.096979,0.791205,Yes,4437.23,17.7566,0.049303,0.369363,
